Time,Open,High,Low,Close,Volume
"Jan 1, 2018",34.32,35.45,34.30,35.18,63500
"Jan 2, 2018",35.13,35.45,34.95,35.07,97500
"Jan 3, 2018",35.10,35.90,35.01,35.29,179000
"Jan 4, 2018",35.40,35.75,35.12,35.52,87000
"Jan 5, 2018",35.65,37.29,35.65,37.19,733000
"Jan 8, 2018",37.18,39.04,37.15,39.04,361500
"Jan 9, 2018",39.90,40.89,39.04,40.59,446500
"Jan 10, 2018",40.45,41.65,40.45,41.01,302000
"Jan 11, 2018",41.05,41.45,40.00,40.27,122000
"Jan 12, 2018",40.30,40.30,38.26,38.49,170000
"Jan 15, 2018",37.25,38.00,36.90,37.08,89500
"Jan 16, 2018",37.47,38.50,37.47,37.51,75500
"Jan 17, 2018",37.60,38.61,37.50,38.60,84000
"Jan 18, 2018",39.20,39.78,38.41,38.68,117000
"Jan 19, 2018",38.75,39.25,38.60,38.93,109500
"Jan 22, 2018",39.50,39.71,38.65,39.20,120500
"Jan 23, 2018",39.10,40.50,38.60,39.79,237500
"Jan 24, 2018",40.48,41.65,40.05,40.32,549000
"Jan 25, 2018",40.30,40.95,40.00,40.48,177000
"Jan 26, 2018",40.15,40.80,39.51,40.57,107500
"Jan 29, 2018",40.90,41.40,40.10,40.81,121500
"Jan 30, 2018",40.90,40.90,40.05,40.26,57500
"Jan 31, 2018",40.65,40.90,40.01,40.18,76500
"Feb 1, 2018",40.10,41.49,40.01,41.26,249500
"Feb 2, 2018",41.15,43.32,41.10,43.32,1154500
"Feb 6, 2018",43.32,45.10,42.40,44.53,628500
"Feb 7, 2018",44.95,45.83,43.50,45.26,457000
"Feb 8, 2018",45.60,46.00,43.80,44.12,236500
"Feb 9, 2018",43.50,46.32,43.50,46.32,778500
"Feb 12, 2018",47.00,48.55,46.25,47.73,614000
"Feb 13, 2018",47.75,48.48,46.50,46.77,121500
"Feb 14, 2018",46.61,46.61,44.44,44.54,303000
"Feb 15, 2018",44.25,45.00,43.25,43.54,184500
"Feb 16, 2018",44.00,45.65,43.60,44.91,69500
"Feb 19, 2018",45.99,45.99,44.50,44.65,52000
"Feb 20, 2018",44.50,45.20,43.98,44.66,44000
"Feb 21, 2018",45.00,45.50,44.51,45.13,133000
"Feb 22, 2018",44.45,47.38,44.05,47.38,273500
"Feb 23, 2018",48.00,49.50,46.50,48.03,539000
"Feb 26, 2018",48.40,50.20,47.70,49.50,334000
"Feb 27, 2018",49.93,50.50,49.15,49.77,232000
"Feb 28, 2018",49.93,52.25,49.22,51.27,365000
"Mar 1, 2018",51.39,51.50,49.45,50.42,222000
"Mar 2, 2018",50.00,51.45,49.71,49.97,177000
