Time,Open,High,Low,Close,Volume
"Jan 1, 2018",63.29,65.00,63.00,64.38,63000
"Jan 2, 2018",65.84,65.85,63.50,65.38,16000
"Jan 3, 2018",64.01,65.40,63.50,64.00,43000
"Jan 4, 2018",64.00,65.90,64.00,65.90,8000
"Jan 5, 2018",64.12,68.48,64.00,67.54,158000
"Jan 8, 2018",67.60,68.98,66.29,67.81,141000
"Jan 9, 2018",68.00,69.20,67.55,67.84,76000
"Jan 10, 2018",68.00,69.40,68.00,69.10,161500
"Jan 11, 2018",70.00,70.00,67.00,67.27,59000
"Jan 12, 2018",67.00,67.00,65.00,66.54,36000
"Jan 15, 2018",65.98,66.80,64.50,65.46,25500
"Jan 16, 2018",65.80,66.00,64.00,64.72,149000
"Jan 17, 2018",64.50,64.90,63.00,63.62,38500
"Jan 18, 2018",63.98,64.85,63.50,63.85,36500
"Jan 19, 2018",64.87,64.87,63.65,64.45,11500
"Jan 22, 2018",64.80,65.50,64.78,65.49,32000
"Jan 23, 2018",64.25,64.95,63.50,63.62,42500
"Jan 24, 2018",63.60,66.20,63.60,65.55,235500
"Jan 25, 2018",65.70,65.70,64.44,64.88,51000
"Jan 26, 2018",64.00,65.15,64.00,65.12,38500
"Jan 29, 2018",65.00,65.25,64.40,64.92,25000
"Jan 30, 2018",64.98,65.00,62.00,62.60,180500
"Jan 31, 2018",62.50,64.72,62.50,64.54,131000
"Feb 1, 2018",64.80,64.80,61.32,61.33,418000
"Feb 2, 2018",61.90,63.17,60.00,60.16,344500
"Feb 6, 2018",60.09,62.85,60.00,62.53,144500
"Feb 7, 2018",62.90,64.10,62.70,63.72,190000
"Feb 8, 2018",64.26,65.40,63.99,64.60,175000
"Feb 9, 2018",64.60,67.83,63.55,67.50,685000
"Feb 12, 2018",67.90,68.45,64.16,64.77,282000
"Feb 13, 2018",68.00,68.00,67.02,68.00,509000
"Feb 14, 2018",71.40,71.40,69.49,70.76,1313500
"Feb 15, 2018",70.89,71.00,67.40,68.08,381500
"Feb 16, 2018",68.40,69.50,67.00,69.16,106000
"Feb 19, 2018",68.98,69.00,67.60,68.10,126000
"Feb 20, 2018",68.40,68.90,66.02,67.86,265500
"Feb 21, 2018",69.00,71.25,67.50,70.07,307500
"Feb 22, 2018",70.60,73.57,70.51,73.57,250500
"Feb 23, 2018",77.24,77.24,76.00,77.24,545500
"Feb 26, 2018",79.00,81.10,77.52,79.54,1064500
"Feb 27, 2018",79.54,83.00,77.10,80.69,316000
"Feb 28, 2018",81.00,83.70,80.80,82.34,202000
"Mar 1, 2018",82.00,82.10,78.23,78.48,205000
"Mar 2, 2018",76.81,79.00,76.80,78.08,98500
"Mar 5, 2018",78.10,80.50,78.00,78.75,176000
"Mar 6, 2018",78.75,78.99,76.65,76.82,69000
"Mar 7, 2018",75.50,78.00,75.19,75.87,47000
"Mar 8, 2018",77.00,77.70,75.30,77.24,125500
"Mar 9, 2018",76.55,77.00,75.14,76.00,16500
"Mar 12, 2018",74.75,76.99,74.65,75.87,41500
"Mar 13, 2018",76.00,78.00,73.50,75.01,110000
"Mar 14, 2018",74.40,75.50,73.50,75.01,75000
"Mar 15, 2018",76.00,76.00,75.00,75.99,70000
"Mar 16, 2018",76.50,76.50,75.50,75.57,14500
"Mar 19, 2018",74.25,75.50,74.00,75.32,73500
"Mar 20, 2018",75.95,79.08,75.95,77.82,872000
"Mar 21, 2018",79.00,79.00,74.50,75.19,699500
"Mar 22, 2018",75.15,76.29,75.00,75.50,128000
"Mar 26, 2018",75.10,76.95,75.10,75.58,94000
"Mar 27, 2018",76.00,76.00,75.00,75.01,124500
