Time,Open,High,Low,Close,Volume
"Jan 1, 2018",13.02,13.50,12.77,13.34,1047000
"Jan 2, 2018",13.10,13.50,13.00,13.21,4448000
"Jan 3, 2018",13.12,13.45,13.05,13.12,2533500
"Jan 4, 2018",13.11,13.91,13.10,13.74,11353500
"Jan 5, 2018",13.75,13.76,13.31,13.50,4170500
"Jan 8, 2018",13.78,13.80,13.43,13.49,948500
"Jan 9, 2018",13.42,13.42,13.10,13.20,611500
"Jan 10, 2018",13.25,13.70,13.24,13.58,2205000
"Jan 11, 2018",13.69,13.95,13.55,13.80,7814000
"Jan 12, 2018",13.64,13.70,13.31,13.35,449500
"Jan 15, 2018",13.29,13.60,13.00,13.05,729000
"Jan 16, 2018",13.24,13.44,12.81,13.07,552500
"Jan 17, 2018",13.11,13.25,13.05,13.15,198500
"Jan 18, 2018",13.30,13.44,13.14,13.21,299000
"Jan 19, 2018",13.23,13.29,13.10,13.12,409500
"Jan 22, 2018",13.33,13.40,13.16,13.34,472000
"Jan 23, 2018",13.38,13.38,13.19,13.32,346500
"Jan 24, 2018",13.32,13.59,13.31,13.38,571000
"Jan 25, 2018",13.45,13.59,13.32,13.42,206000
"Jan 26, 2018",13.42,13.55,13.36,13.43,202000
"Jan 29, 2018",13.43,13.64,13.35,13.45,414500
"Jan 30, 2018",13.60,13.85,13.40,13.64,966000
"Jan 31, 2018",13.80,14.10,13.78,13.87,2253500
"Feb 1, 2018",13.95,14.04,13.61,13.83,384500
"Feb 2, 2018",13.71,13.85,13.60,13.65,590000
"Feb 6, 2018",13.50,13.57,13.32,13.40,865500
"Feb 7, 2018",13.55,13.67,13.43,13.57,473500
"Feb 8, 2018",13.51,13.59,13.39,13.42,556500
"Feb 9, 2018",13.36,13.46,13.29,13.41,342000
"Feb 12, 2018",13.42,13.45,13.31,13.35,506500
"Feb 13, 2018",13.31,13.50,13.22,13.29,988500
"Feb 14, 2018",13.30,13.45,12.51,12.61,5189000
"Feb 15, 2018",12.54,12.95,12.34,12.54,15386000
"Feb 16, 2018",12.59,12.87,12.59,12.76,607000
"Feb 19, 2018",12.70,12.70,12.49,12.51,380000
"Feb 20, 2018",12.59,12.59,12.23,12.28,2001500
"Feb 21, 2018",12.40,12.60,12.40,12.51,1735500
"Feb 22, 2018",12.39,12.78,12.34,12.73,593500
"Feb 23, 2018",12.70,12.80,12.35,12.41,408500
"Feb 26, 2018",12.46,12.67,12.40,12.51,250000
"Feb 27, 2018",12.50,12.64,12.25,12.32,814500
"Feb 28, 2018",12.35,12.44,12.20,12.29,368500
"Mar 1, 2018",12.32,12.45,12.14,12.17,756500
"Mar 2, 2018",12.29,12.44,12.15,12.20,409500
"Mar 5, 2018",12.23,12.40,12.20,12.25,884000
"Mar 6, 2018",12.35,12.35,12.10,12.15,829500
"Mar 7, 2018",12.21,12.35,12.15,12.20,2649000
"Mar 8, 2018",12.16,12.77,12.16,12.30,5139500
"Mar 9, 2018",12.35,12.37,12.15,12.20,1640500
"Mar 12, 2018",12.16,12.35,12.16,12.29,407000
"Mar 13, 2018",12.35,12.35,12.19,12.23,349500
"Mar 14, 2018",12.34,12.42,12.22,12.36,773000
"Mar 15, 2018",12.46,12.50,12.40,12.40,1732000
"Mar 16, 2018",12.37,12.44,12.20,12.34,1857500
"Mar 19, 2018",12.32,12.45,12.28,12.31,68000
"Mar 20, 2018",12.36,12.60,12.36,12.48,370500
"Mar 21, 2018",12.41,12.50,12.35,12.39,163000
"Mar 22, 2018",12.50,12.50,12.32,12.37,122500
"Mar 26, 2018",12.35,12.65,12.30,12.40,326500
"Mar 27, 2018",12.32,12.45,12.30,12.41,412000
"Mar 28, 2018",12.40,12.50,12.35,12.35,524000
"Mar 29, 2018",12.35,12.48,12.33,12.39,208500
"Mar 30, 2018",12.36,12.50,12.28,12.35,788500
"Apr 2, 2018",12.36,12.45,12.30,12.36,268000
"Apr 3, 2018",12.50,12.50,12.30,12.34,201000
"Apr 4, 2018",12.50,12.80,12.30,12.62,2579500
"Apr 5, 2018",12.56,12.79,12.56,12.72,411500
"Apr 6, 2018",12.81,12.85,12.60,12.72,694500
"Apr 9, 2018",12.75,12.75,12.60,12.63,187000
"Apr 10, 2018",12.61,12.99,12.57,12.88,829000
"Apr 11, 2018",12.85,13.24,12.80,13.12,7459000
"Apr 12, 2018",13.26,13.38,12.70,12.77,5661000
"Apr 13, 2018",12.65,12.75,12.46,12.58,935500
"Apr 16, 2018",12.48,12.48,12.35,12.36,592000
"Apr 17, 2018",12.33,12.50,12.33,12.40,102500
"Apr 18, 2018",12.45,12.45,12.25,12.28,408000
"Apr 19, 2018",12.30,12.31,12.10,12.20,659000
"Apr 20, 2018",12.20,12.29,12.01,12.11,990500
"Apr 23, 2018",12.10,12.30,12.10,12.28,326000
"Apr 24, 2018",12.16,12.50,12.15,12.36,220500
"Apr 25, 2018",12.27,12.39,12.23,12.29,101500
"Apr 26, 2018",12.43,12.43,12.22,12.25,175500
"Apr 27, 2018",12.25,12.30,12.15,12.19,706500
"Apr 30, 2018",12.30,12.30,12.15,12.20,243000
"May 2, 2018",12.38,12.38,12.15,12.19,207000
"May 3, 2018",12.13,12.24,12.03,12.06,430500
"May 4, 2018",12.09,12.19,12.06,12.16,265000
"May 7, 2018",12.16,12.21,12.04,12.12,268500
"May 8, 2018",12.04,12.10,12.00,12.01,814500
"May 9, 2018",12.01,12.08,11.83,11.94,637000
"May 10, 2018",11.92,12.10,11.91,12.04,112000
"May 11, 2018",12.01,12.10,11.90,11.91,537500
"May 14, 2018",11.81,11.95,11.70,11.79,601500
"May 15, 2018",11.95,11.95,11.60,11.82,548500
"May 16, 2018",11.95,11.95,11.80,11.81,72000
"May 17, 2018",11.75,11.75,11.62,11.69,94500
"May 18, 2018",11.80,11.80,11.52,11.54,246000
"May 21, 2018",11.65,11.73,11.59,11.65,483000
"May 22, 2018",11.63,11.85,11.63,11.73,634500
"May 23, 2018",11.80,11.98,11.80,11.91,171500
"May 24, 2018",11.95,11.95,11.75,11.75,76500
"May 25, 2018",11.80,11.88,11.59,11.61,346000
"May 28, 2018",11.55,11.69,11.51,11.66,105000
"May 29, 2018",11.58,11.70,11.58,11.63,90000
"May 30, 2018",11.63,11.70,11.50,11.53,206000
"May 31, 2018",11.55,11.99,11.50,11.90,820000
"Jun 1, 2018",11.80,11.85,11.80,11.85,23000
"Jun 4, 2018",11.98,11.98,11.67,11.77,58000
"Jun 5, 2018",11.75,11.91,11.75,11.82,117000
"Jun 6, 2018",11.91,12.04,11.81,11.88,247500
"Jun 7, 2018",11.85,11.97,11.80,11.80,65500
"Jun 11, 2018",11.72,12.00,11.72,11.83,237500
"Jun 12, 2018",11.80,11.85,11.60,11.61,89500
"Jun 13, 2018",11.75,11.75,11.65,11.69,254000
"Jun 14, 2018",11.84,11.84,11.75,11.81,1018500
"Jun 19, 2018",11.81,11.83,11.69,11.70,1195500
"Jun 20, 2018",11.75,11.75,11.62,11.63,23000
"Jun 21, 2018",11.60,11.70,11.52,11.56,355000
"Jun 22, 2018",11.56,11.98,11.52,11.54,239500
"Jun 25, 2018",11.51,11.51,11.33,11.34,193500
"Jun 26, 2018",11.27,11.40,11.17,11.21,222500
"Jun 27, 2018",11.29,11.30,11.10,11.20,838500
"Jun 28, 2018",11.18,11.20,11.03,11.06,794500
