Time,Open,High,Low,Close,Volume
"Jan 1, 2018",75.50,75.50,75.00,75.00,4000
"Jan 2, 2018",74.85,76.00,73.11,75.32,197500
"Jan 3, 2018",74.03,74.60,72.30,72.75,21000
"Jan 4, 2018",71.03,74.50,71.03,74.01,381500
"Jan 5, 2018",74.35,77.00,71.00,76.52,180500
"Jan 8, 2018",74.50,80.34,74.50,80.32,436000
"Jan 9, 2018",82.40,84.33,81.00,82.98,260500
"Jan 10, 2018",84.95,85.00,82.01,83.90,71000
"Jan 11, 2018",83.00,83.50,81.00,82.88,734500
"Jan 12, 2018",82.99,84.75,82.00,82.61,1784000
"Jan 15, 2018",82.10,82.90,81.10,81.99,56500
"Jan 16, 2018",82.95,83.45,80.40,80.72,33500
"Jan 17, 2018",81.85,83.50,81.75,83.00,51500
"Jan 18, 2018",83.50,85.50,82.30,83.00,287000
"Jan 19, 2018",83.50,83.90,82.55,82.90,23000
"Jan 22, 2018",83.00,83.50,82.10,83.03,76000
"Jan 23, 2018",82.01,83.00,82.00,82.01,41500
"Jan 24, 2018",83.00,86.11,83.00,84.64,387500
"Jan 25, 2018",86.00,86.40,84.00,84.94,77500
"Jan 26, 2018",83.50,88.35,83.50,87.21,378500
"Jan 29, 2018",87.00,88.80,86.41,87.66,49000
"Jan 30, 2018",87.00,87.00,85.10,85.38,14500
"Jan 31, 2018",85.00,86.20,84.60,86.00,31000
"Feb 1, 2018",85.00,85.90,83.20,84.44,57500
"Feb 2, 2018",83.60,85.00,83.60,84.69,33000
"Feb 6, 2018",83.00,86.90,83.00,85.40,61500
"Feb 7, 2018",85.00,89.00,85.00,87.29,226000
"Feb 8, 2018",86.50,88.00,86.50,87.00,189000
"Feb 9, 2018",86.99,88.20,85.50,87.85,18000
"Feb 12, 2018",86.00,87.00,85.00,86.33,63000
"Feb 13, 2018",87.00,88.50,85.76,87.99,50000
"Feb 14, 2018",87.90,88.00,87.00,87.00,173000
"Feb 15, 2018",87.50,87.50,86.00,86.18,32000
"Feb 16, 2018",86.50,89.00,86.50,88.51,314000
"Feb 19, 2018",87.05,87.95,87.01,87.95,12500
"Feb 20, 2018",88.00,88.00,88.00,88.00,500
"Feb 21, 2018",85.51,87.99,85.51,87.75,13000
"Feb 22, 2018",88.45,92.13,88.45,92.13,385000
"Feb 23, 2018",92.15,94.99,90.00,90.50,124500
"Feb 26, 2018",89.25,89.25,88.00,88.25,253500
"Feb 27, 2018",87.00,88.24,87.00,87.05,49000
"Feb 28, 2018",89.88,90.00,87.50,88.16,53000
"Mar 1, 2018",86.75,88.00,86.75,88.00,36500
"Mar 2, 2018",88.00,88.00,87.99,87.99,7000
"Mar 5, 2018",89.49,89.50,88.00,88.00,23000
"Mar 6, 2018",87.00,88.00,87.00,88.00,3500
"Mar 7, 2018",85.00,88.50,85.00,88.00,147000
"Mar 8, 2018",88.00,88.40,85.15,88.00,53500
"Mar 9, 2018",88.00,88.00,86.50,86.50,1000
"Mar 12, 2018",87.50,88.25,87.50,88.00,26000
"Mar 13, 2018",88.00,91.00,88.00,88.91,32500
"Mar 14, 2018",89.00,91.00,89.00,89.15,43000
"Mar 15, 2018",90.00,93.60,90.00,93.60,1102000
"Mar 16, 2018",94.99,95.50,94.00,94.02,183000
"Mar 19, 2018",93.02,96.00,93.02,95.42,382500
"Mar 20, 2018",94.05,98.00,94.05,97.00,705000
"Mar 21, 2018",97.00,97.40,94.30,96.29,686500
"Mar 22, 2018",95.95,99.40,95.50,99.05,1136000
"Mar 26, 2018",98.00,98.05,94.98,95.94,272000
"Mar 27, 2018",92.60,95.00,92.60,93.48,406000
"Mar 28, 2018",92.00,94.00,88.81,93.68,300000
"Mar 29, 2018",92.15,95.25,92.15,95.04,106500
"Mar 30, 2018",93.65,98.00,93.56,96.62,119000
"Apr 2, 2018",97.00,97.94,94.12,95.06,5500
"Apr 3, 2018",96.00,96.00,94.00,94.00,13500
"Apr 4, 2018",95.00,98.00,95.00,96.00,105000
"Apr 5, 2018",97.99,97.99,96.00,96.75,271500
"Apr 6, 2018",96.00,97.50,94.21,96.48,56000
"Apr 9, 2018",97.00,97.55,95.60,95.60,25500
"Apr 10, 2018",96.99,96.99,96.00,96.49,29500
"Apr 11, 2018",95.50,96.75,95.50,95.79,20500
"Apr 12, 2018",95.50,96.30,95.50,96.00,50000
"Apr 13, 2018",97.00,98.39,96.00,96.53,162000
"Apr 16, 2018",94.01,96.00,94.01,95.80,47500
"Apr 17, 2018",95.00,95.89,95.00,95.40,9500
"Apr 18, 2018",96.75,96.75,94.00,94.00,21000
"Apr 19, 2018",93.50,94.00,93.50,94.00,1500
"Apr 20, 2018",94.01,94.75,94.00,94.26,788500
"Apr 23, 2018",95.00,97.50,94.99,97.07,91000
"Apr 24, 2018",96.00,97.75,96.00,97.50,160000
"Apr 25, 2018",95.26,97.00,95.26,96.00,7000
"Apr 26, 2018",96.00,96.00,95.00,95.67,46000
"Apr 27, 2018",98.50,98.90,95.99,96.19,123500
"Apr 30, 2018",95.50,98.30,95.50,97.56,30500
"May 2, 2018",95.00,96.25,94.50,94.93,24000
"May 3, 2018",93.01,93.01,93.00,93.00,3500
"May 4, 2018",93.00,93.00,92.00,92.00,45000
"May 7, 2018",93.85,93.85,90.01,91.94,24500
"May 8, 2018",92.00,92.00,90.00,90.97,227500
"May 9, 2018",90.01,92.50,89.00,92.33,339500
"May 10, 2018",92.00,93.99,92.00,93.00,50500
"May 11, 2018",91.49,91.49,91.49,91.49,5500
"May 14, 2018",88.01,89.50,88.00,89.00,11000
"May 15, 2018",88.00,90.10,88.00,90.00,10000
"May 16, 2018",89.51,90.00,89.51,90.00,1000
"May 17, 2018",88.53,89.00,88.53,89.00,2000
"May 18, 2018",88.50,88.60,87.50,88.60,3000
"May 21, 2018",86.01,88.00,86.01,88.00,14500
"May 22, 2018",89.00,92.40,89.00,92.40,98000
"May 23, 2018",92.00,92.00,90.13,91.99,70000
"May 24, 2018",91.99,94.80,91.25,92.04,650000
"May 25, 2018",89.59,91.87,89.59,91.86,12000
